餐廳名稱,地址,餐廳連結,latitude,longitude,distance
方家雞肉飯,103台北市大同區寧夏路060攤位號 ,https://www.google.com/maps/place/%E6%96%B9%E5%AE%B6%E9%9B%9E%E8%82%89%E9%A3%AF/data=!4m7!3m6!1s0x3442a96b20d64d03:0x75b1bf97ad69bc3a!8m2!3d25.056349!4d121.5152918!16s%2Fg%2F1tg76rm7!19sChIJA03WIGupQjQROrxprZe_sXU?authuser=0&hl=zh-TW&rclk=1,25.056349,121.5127169,0.0379934270915068
圓環邊蚵仔煎,103台北市大同區寧夏路46號 ,https://www.google.com/maps/place/%E5%9C%93%E7%92%B0%E9%82%8A%E8%9A%B5%E4%BB%94%E7%85%8E/data=!4m7!3m6!1s0x3442a96b20b81421:0x82d3c5ad2016f2b8!8m2!3d25.0564052!4d121.515281!16s%2Fg%2F11c3_65814!19sChIJIRS4IGupQjQRuPIWIK3F04I?authuser=0&hl=zh-TW&rclk=1,25.0564052,121.5127061,0.0321728595138933
李掌伯（原寧夏夜市里長伯麻辣臭豆腐鴨血蚵仔麵線）,103台北市大同區寧夏路22之9號 ,https://www.google.com/maps/place/%E6%9D%8E%E6%8E%8C%E4%BC%AF%EF%BC%88%E5%8E%9F%E5%AF%A7%E5%A4%8F%E5%A4%9C%E5%B8%82%E9%87%8C%E9%95%B7%E4%BC%AF%E9%BA%BB%E8%BE%A3%E8%87%AD%E8%B1%86%E8%85%90%E9%B4%A8%E8%A1%80%E8%9A%B5%E4%BB%94%E9%BA%B5%E7%B7%9A%EF%BC%89/data=!4m7!3m6!1s0x3442a96b39b0fb99:0x13f60e5205635aba!8m2!3d25.0554229!4d121.514996!16s%2Fg%2F1thx696p!19sChIJmfuwOWupQjQRulpjBVIO9hM?authuser=0&hl=zh-TW&rclk=1,25.0554229,121.5124211,0.14472152966447
豬肝榮仔,103台北市大同區寧夏路010攤位 ,https://www.google.com/maps/place/%E8%B1%AC%E8%82%9D%E6%A6%AE%E4%BB%94/data=!4m7!3m6!1s0x3442a96add70ff59:0x72e98fd458791b6b!8m2!3d25.056914!4d121.5155708!16s%2Fg%2F1xb2b7yk!19sChIJWf9w3WqpQjQRaxt5WNSP6XI?authuser=0&hl=zh-TW&rclk=1,25.056914,121.5129959,0.0327892018183883
寧夏夜市-爆漿脆皮魷魚,103台北市大同區寧夏夜市第89攤 ,https://www.google.com/maps/place/%E5%AF%A7%E5%A4%8F%E5%A4%9C%E5%B8%82-%E7%88%86%E6%BC%BF%E8%84%86%E7%9A%AE%E9%AD%B7%E9%AD%9A/data=!4m7!3m6!1s0x3442a9c2cf6e4aab:0x5e53146c9bbeb952!8m2!3d25.0560564!4d121.5154202!16s%2Fg%2F11sfg7g_1_!19sChIJq0puz8KpQjQRUrm-m2wUU14?authuser=0&hl=zh-TW&rclk=1,25.0560564,121.5128453,0.0699283230919252
菇之居,103台北市大同區第82攤寧夏夜市 ,https://www.google.com/maps/place/%E8%8F%87%E4%B9%8B%E5%B1%85/data=!4m7!3m6!1s0x3442a958b457c1ff:0x6c584ab78197deb4!8m2!3d25.0560564!4d121.5154024!16s%2Fg%2F11q3vkfy77!19sChIJ_8FXtFipQjQRtN6XgbdKWGw?authuser=0&hl=zh-TW&rclk=1,25.0560564,121.5128275,0.0698058880135424
豆花莊,103台北市大同區寧夏路49號 ,https://www.google.com/maps/place/%E8%B1%86%E8%8A%B1%E8%8E%8A/data=!4m7!3m6!1s0x3442a96ac201a925:0x60c17d7623069c74!8m2!3d25.057382!4d121.5155865!16s%2Fg%2F1v6qf9rt!19sChIJJakBwmqpQjQRdJwGI3Z9wWA?authuser=0&hl=zh-TW&rclk=1,25.057382,121.5130116,0.0803405956022181
環記麻油雞,103台北市大同區寧夏路44號 ,https://www.google.com/maps/place/%E7%92%B0%E8%A8%98%E9%BA%BB%E6%B2%B9%E9%9B%9E/data=!4m7!3m6!1s0x3442a96b2129eb95:0x11a1b09e391357!8m2!3d25.056338!4d121.51526!16s%2Fg%2F1th26285!19sChIJlespIWupQjQRVxM5nrChEQA?authuser=0&hl=zh-TW&rclk=1,25.056338,121.5126851,0.0399119903891822
冰霖古早味豆花,103台北市大同區民生西路210號 ,https://www.google.com/maps/place/%E5%86%B0%E9%9C%96%E5%8F%A4%E6%97%A9%E5%91%B3%E8%B1%86%E8%8A%B1/data=!4m7!3m6!1s0x3442a96adbcf6ac1:0x12fc2f4a520ac7ee!8m2!3d25.0569429!4d121.5151079!16s%2Fg%2F1tczh550!19sChIJwWrP22qpQjQR7scKUkov_BI?authuser=0&hl=zh-TW&rclk=1,25.0569429,121.512533,0.0384794630643924
寧夏夜市千歲宴,103台北市大同區寧夏路58號2樓 ,https://www.google.com/maps/place/%E5%AF%A7%E5%A4%8F%E5%A4%9C%E5%B8%82%E5%8D%83%E6%AD%B2%E5%AE%B4/data=!4m7!3m6!1s0x3442a96adeefe8bd:0xc681b7e661a28ab8!8m2!3d25.056676!4d121.515363!16s%2Fg%2F11gzgyny5!19sChIJvejv3mqpQjQRuIqiYea3gcY?authuser=0&hl=zh-TW&rclk=1,25.056676,121.5127881,0.0010692045683929
